,label,id,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
1555,0,1592,2,0,163,52,10,116,8,0,166,70,233,1,0,110,2,1,47,0,0,0,23
682,0,794,2,0,23,142,2,116,8,0,166,494,154,1,0,24,2,1,18,0,0,0,13
555,0,672,2,0,23,142,2,116,8,0,166,1482,213,1,0,24,2,1,18,0,0,32,13
358,0,493,2,0,5,25,3,116,8,0,166,1058,229,1,0,71,2,1,47,0,0,0,23
1526,0,1567,2,0,23,142,2,116,8,0,166,1185,63,1,0,24,2,1,18,0,0,0,13
1133,0,1207,2,0,97,118,5,9,18,1,166,1579,92,1,0,65,2,1,12,3,30,46,10
1593,0,1625,2,0,23,142,2,116,8,0,166,941,213,1,0,29,2,1,18,0,0,32,13
1995,0,1996,2,0,110,48,11,116,8,0,166,132,232,1,0,71,2,1,47,0,0,0,23
40,0,198,2,0,23,142,2,116,8,0,166,61,147,1,0,29,2,1,18,0,0,32,13
1698,0,1722,2,0,23,142,2,116,8,0,166,487,226,1,0,26,2,1,18,0,0,31,13
1253,0,1318,2,1,43,22,6,116,8,0,166,220,270,1,1,71,2,1,47,0,0,12,23
1835,0,1852,2,0,97,118,5,48,1,1,166,372,36,1,0,130,2,1,77,3,12,38,10
1484,0,1530,2,0,23,142,2,116,8,0,166,1526,54,1,0,33,2,1,18,0,0,0,13
743,0,850,2,0,97,118,5,56,1,4,97,559,213,1,2,32,2,1,18,0,0,31,13
1711,0,1735,2,0,97,118,5,19,18,1,166,210,216,1,0,95,2,3,64,3,22,0,6
626,0,740,2,0,23,142,2,116,8,0,166,1344,112,1,0,33,2,1,18,0,0,0,13
728,1,837,4,1,97,118,5,97,8,1,1,517,449,2,0,128,2,1,76,0,6,36,15
459,0,585,2,0,97,118,5,48,1,1,166,1451,90,1,0,130,2,1,77,3,12,38,10
93,0,246,2,0,97,118,5,95,18,1,166,303,289,1,0,130,2,1,77,3,12,38,10
1496,0,1541,2,1,150,73,10,116,8,0,166,571,445,1,0,54,2,1,35,2,1,0,5
900,0,994,2,0,97,118,5,17,9,1,166,1334,151,1,0,130,2,1,77,3,12,38,10
1257,0,1322,2,0,23,142,2,116,8,0,166,1607,146,1,0,33,2,1,18,0,0,0,13
129,0,278,2,0,17,108,10,116,8,0,166,1382,151,1,0,110,2,1,47,0,0,0,23
1458,1,113,2,0,163,52,10,116,8,0,166,16,491,1,0,71,2,1,47,0,0,0,23
460,0,586,2,0,112,98,10,116,8,0,166,774,255,1,0,94,2,1,63,0,21,30,8
245,0,387,2,0,97,118,5,100,1,4,106,900,229,1,0,106,2,1,19,3,24,20,18
612,0,727,2,0,97,118,5,6,4,7,166,565,417,1,0,71,2,1,47,0,0,0,23
1203,0,1270,2,0,23,142,2,116,8,0,166,242,85,1,0,30,2,1,18,0,0,0,13
1822,0,1839,2,1,55,31,4,116,8,0,166,664,226,1,0,79,2,1,49,0,21,26,8
336,0,471,2,1,150,73,10,116,8,0,166,988,399,1,0,43,2,1,32,2,1,0,2
741,0,849,2,0,60,120,4,116,8,0,166,553,419,1,0,105,2,1,66,0,1,0,23
550,0,668,2,0,23,142,2,116,8,0,166,7,449,1,0,27,2,1,18,0,0,32,13
1267,0,1332,2,1,170,121,10,116,8,0,166,1367,260,1,0,71,2,1,47,0,0,0,23
998,0,1084,2,0,23,142,2,116,8,0,166,1016,112,1,0,28,2,1,18,0,0,0,13
1684,0,1708,2,0,23,142,2,116,8,0,166,1542,47,1,0,28,2,1,18,0,0,32,13
338,1,473,2,0,23,142,2,116,8,0,166,1200,488,1,1,32,2,1,18,0,0,0,13
576,1,693,2,1,150,73,10,116,8,0,166,164,357,1,0,6,2,1,4,2,1,44,4
295,0,434,2,0,23,142,2,116,8,0,166,685,136,1,0,24,2,1,18,0,0,32,13
1112,0,1186,2,0,163,52,10,116,8,0,166,1337,156,1,0,110,2,1,47,0,0,0,23
107,0,258,4,1,97,118,5,122,8,1,149,1222,43,2,0,134,2,1,79,3,0,18,21
680,1,792,0,0,92,118,2,116,8,0,166,1425,461,1,0,92,2,1,61,3,6,7,10
237,0,379,2,0,23,142,2,116,8,0,166,1083,258,1,0,26,2,1,18,0,0,0,13
524,0,643,2,0,23,142,2,116,8,0,166,104,303,1,0,33,2,1,18,0,0,32,13
140,0,288,2,1,150,73,10,116,8,0,166,1619,0,1,0,48,2,1,25,3,1,0,3
1962,0,1966,2,0,97,118,5,110,6,1,32,1684,207,1,0,6,2,1,4,2,1,0,4
320,0,457,2,1,66,13,10,116,8,0,166,581,413,1,0,36,2,1,23,3,7,29,3
1756,0,1778,2,0,23,142,2,116,8,0,166,807,63,1,0,27,2,1,18,0,0,32,13
716,0,827,2,0,52,56,2,116,8,0,166,1064,439,1,1,62,2,1,43,3,1,0,3
228,0,371,2,0,23,142,2,116,8,0,166,109,303,1,0,32,2,1,18,0,0,32,13
953,0,75,2,0,97,118,5,95,18,1,166,98,92,1,0,130,2,1,77,3,12,38,10
1659,0,1685,2,0,1,1,8,116,8,0,166,639,360,1,0,71,2,1,47,0,0,0,23
1675,0,1700,2,0,97,118,5,60,1,4,197,1206,177,1,0,130,2,1,77,3,12,38,10
485,0,606,2,0,23,142,2,116,8,0,166,394,258,1,0,30,2,1,18,0,0,0,13
255,1,397,2,0,63,67,4,116,8,0,166,1210,238,1,0,52,1,2,38,2,1,32,5
1314,0,1370,2,1,16,5,10,116,8,0,166,1449,147,1,0,113,2,1,71,3,1,0,3
72,0,226,2,0,23,142,2,116,8,0,166,375,419,1,0,30,2,1,18,0,0,32,13
681,0,793,1,0,147,46,5,116,8,0,202,980,148,0,0,105,2,1,66,0,1,0,23
135,0,284,2,0,146,62,10,116,8,0,166,1287,483,1,0,71,2,1,47,0,0,0,23
1990,0,1991,2,0,97,118,5,29,1,1,193,992,119,1,2,99,2,1,66,0,1,0,23
1520,1,1561,2,0,63,67,4,116,8,0,166,1468,258,1,0,90,1,2,59,2,0,0,3
1550,0,1588,2,1,150,73,10,116,8,0,166,415,445,1,0,54,2,1,35,2,1,0,5
881,1,976,2,0,97,118,5,110,6,1,109,1023,491,1,0,113,2,1,71,3,1,0,3
636,0,750,2,0,23,142,2,116,8,0,166,1577,248,1,0,24,2,1,18,0,0,0,13
1764,1,1786,2,0,74,67,4,116,8,0,166,1004,250,1,0,52,1,2,38,2,1,31,5
349,0,484,2,0,23,142,2,116,8,0,166,1193,467,1,0,28,2,1,18,0,0,0,13
1486,1,1531,2,0,97,118,5,110,6,1,166,734,34,1,0,112,2,1,71,3,1,0,3
761,0,62,2,0,60,120,4,116,8,0,166,1062,419,1,0,105,2,1,66,0,1,0,23
1483,0,1529,2,0,41,100,4,116,8,0,166,1109,185,1,0,71,2,1,47,0,0,50,23
650,1,762,2,0,23,142,2,116,8,0,166,56,74,1,0,29,2,1,18,0,0,0,13
419,0,546,2,0,23,142,2,116,8,0,166,825,449,1,0,32,2,1,18,0,0,32,13
158,0,304,2,1,105,72,3,116,8,0,166,850,80,1,0,71,2,1,47,0,0,0,23
1729,0,1752,2,0,23,142,2,116,8,0,166,524,258,1,0,33,2,1,18,0,0,0,13
1503,0,13,2,0,23,142,2,116,8,0,166,1630,313,1,0,32,2,1,18,0,0,32,13
1120,0,1194,2,0,145,88,10,116,8,0,166,1455,151,1,0,60,2,1,42,2,1,0,4
689,0,800,2,1,46,21,2,116,8,0,166,1429,363,1,0,31,2,1,18,0,0,0,13
1042,1,1126,2,0,23,142,2,116,8,0,166,1074,363,1,0,28,2,1,18,0,0,0,13
1343,0,1397,2,0,23,142,2,116,8,0,166,78,112,1,0,24,2,1,18,0,0,0,13
531,0,649,2,0,63,67,4,116,8,0,166,495,251,1,0,73,1,2,48,2,1,0,5
445,1,571,2,0,63,67,4,116,8,0,166,763,112,1,0,51,1,2,38,2,1,0,5
1310,0,1366,2,0,97,118,5,121,10,1,166,1528,326,1,0,130,2,1,77,3,12,38,10
1626,0,1654,2,0,23,142,2,116,8,0,166,1305,258,1,0,26,2,1,18,0,0,0,13
1139,0,91,2,0,97,118,5,110,6,1,95,620,483,1,0,6,2,1,4,2,1,44,4
1819,0,141,2,0,69,23,10,116,8,0,166,586,57,1,0,39,2,1,27,3,1,58,3
547,0,665,2,0,63,67,4,116,8,0,166,636,151,1,0,52,1,2,38,2,1,0,5
958,1,1048,2,0,60,120,4,116,8,0,166,1307,470,1,0,105,2,1,66,0,1,0,23
1157,1,1228,2,0,23,142,2,116,8,0,166,136,151,1,0,33,2,1,18,0,0,0,13
191,1,336,2,0,63,67,4,116,8,0,166,1742,122,1,0,73,1,2,48,2,1,0,5
1164,0,1234,2,0,23,142,2,116,8,0,166,1246,258,1,0,31,2,1,18,0,0,0,13
1821,0,1838,2,0,97,118,5,67,1,1,17,1312,327,1,0,110,2,1,47,0,0,42,23
799,0,898,2,0,63,67,4,116,8,0,166,399,226,1,0,51,1,2,38,2,1,0,5
1402,0,1453,2,0,23,142,2,116,8,0,166,1396,213,1,0,32,2,1,18,0,0,31,13
1847,0,1863,2,0,97,118,5,6,4,7,166,291,419,1,0,112,2,1,71,3,1,0,3
449,0,575,2,0,60,120,4,116,8,0,166,1062,419,1,0,105,2,1,66,0,1,0,23
44,1,202,1,0,95,118,5,116,8,0,115,428,396,0,0,133,2,1,75,3,9,68,22
